SS2_Donor01_CD4T_CD19-CAR_rep1	SS2_Donor01_CD4T_CD19-CAR_rep2	SS2_Donor01_CD8T_CD19-CAR_rep1	SS2_Donor01_CD8T_CD19-CAR_rep2	SS2_Donor01_CD4T_CD19-CAR-CD25_rep1	SS2_Donor01_CD4T_CD19-CAR-CD25_rep2	SS2_Donor01_CD8T_CD19-CAR-CD25_rep1	SS2_Donor01_CD8T_CD19-CAR-CD25_rep2	SS2_Donor02_CD4T_CD19-CAR_rep1	SS2_Donor02_CD4T_CD19-CAR_rep2	SS2_Donor02_CD8T_CD19-CAR_rep1	SS2_Donor02_CD8T_CD19-CAR_rep2	SS2_Donor02_CD4T_CD19-CAR-CD25_rep1	SS2_Donor02_CD4T_CD19-CAR-CD25_rep2	SS2_Donor02_CD8T_CD19-CAR-CD25_rep1	SS2_Donor02_CD8T_CD19-CAR-CD25_rep2	SS2_Donor03_CD4T_CD19-CAR_rep1	SS2_Donor03_CD4T_CD19-CAR_rep2	SS2_Donor03_CD8T_CD19-CAR_rep1	SS2_Donor03_CD8T_CD19-CAR_rep2	SS2_Donor03_CD4T_CD19-CAR-CD25_rep1	SS2_Donor03_CD4T_CD19-CAR-CD25_rep2	SS2_Donor03_CD8T_CD19-CAR-CD25_rep1	SS2_Donor03_CD8T_CD19-CAR-CD25_rep2
EGF	1.063701	0	0	0.638906	1.287456	0.520162	0	0.476608	0.625159	0.50125	0	1.015847	1.643022	0.932427	0.472448	0	1.550852	1.090526	0	0	0.894973	0.421682	1.023634	0
EGFEM1P	0.770173	0	1.10414	0.870445	0	0	1.10306	0	1.92811	0.888209	0	1.30386	0.736638	0.717916	0	1.02138	0.780846	0	0	1.80514	0.775698	0	0.846465	0
EGFL6	24.41221	15.5976	0	0	2.67003	2.264111	0	0	0	0	0	0	4.547696	0	0	1.086108	0	0	0.953063	0	0	8.48613	0	2.480902
EGFL7	0	0	0	0	0	0	0	0	5.6227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFL8	0	0	3.01471	0	0	0	0	0	0	11.8357	0	0	0	4.40601	6.70186	0	0	0	5.79134	0	11.1332	0	4.81467	10.5607
EGFLAM	0	0.584951	0	0	0	0	0	0	0	0	0	0	0	1.22603	0	0	6.69118	0	1.07363	0	0	0	0	0
EGFLAM-AS4	3.67243	5.1646	0	0	6.38646	10.8624	0	0.102593	0	6.4252	1.90211	7.45562	3.66878	8.16173	4.2328	5.3951	2.43635	5.06076	5.706	0	3.44737	1.94942	4.24058	6.3453
EGFR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR-AS1	0.831376	0.88521	2.54474	1.06615	0	0	0	0.7665	0	0	0	0.865408	2.90515	0	0	0	0	0	0.811698	0	0.891645	0.803466	1.01079	4.22834
EGLN1	5.0878	3.03971	1.45898	2.03772	3.48455	1.10546	2.17963	2.64163	3.20502	3.80907	3.39935	3.63036	2.58766	1.06119	0.719621	3.88972	15.597	1.56004	1.86137	2.11392	1.0292	5.87935	0.779316	1.21271
EGLN2	142.435	116.139	74.8232	96.9841	130.694	166.352	89.3242	98.388	150.441	149.079	127.121	156.328	137.279	137.594	148.565	170.695	96.9482	8.18914	94.7205	89.7804	205.321	112.728	194.77	138.41
EGLN3	0	2.75943	0	0	0	0	0	0	0	1.03378	0	0	0	0	0	0	0	0	0	0	4.63249	0	2.10048	0
EGOT	0	0	0	2.19909	0	0	0	0	2.46195	0	2.0424	0	0	0	0	1.90378	0	0	0	2.25715	0	4.9539	0	4.34376
EGR1	2.97025	3.16236	0	0.952414	8.1372	11.1988	2.02372	0.684841	1.07027	4.44417	0	0	8.6516	10.7637	0	0.826899	0	0	0	0	1.59266	1.43603	9.93172	9.44691
EGR2	1.67869	2.50524	0	0	0	0	4.5731000277539	0	0	0	0	0.873694	26.4991329	1.7489	0	0	0	0	0.819462	2.2269300449252	0	1.62225	12.8573	13.8731
EGR3	0	0	2.707576	0	0	0	0	0.5434804	0	0	0	0.613225	0	2.627853	0	0	0	0	0	0.783406	0	0	0	0
EGR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHBP1	1.40217	0.9950270406462	0.716723157665	2.399180435558	6.416570902592	2.668318271	1.27527032323	0.862993101107	4.048400328266	0	2.22669072269	1.946830122527	1.6349900913575	0	4.242770203031	2.60588109473	2.846740213874	0	2.283410302269	3.11279199808	3.006700654012	2.2634500346909	5.03119	4.68647
EHBP1L1	4.38556	1.86724	4.03568	2.25129	1.20443	12.2212	1.19674	0.809841	1.26643	3.67667	3.13412	8.22052	2.04568	1.95757	3.98155	2.44546	1.06859	4.3158	1.71414	2.92169	5.17211	2.54902	6.93407	4.47211
EHD1	99.7794	125.459	88.2163	78.1718	93.619	116.556	66.6345	65.4839	85.9386	98.6066	116.415	93.4235	152.176	123.975	105.525	114.881	79.0545	4.93762	60.1713	64.9708	91.9178	96.5235	153.902	138.932
EHD2	4.80481	3.58932	2.00274	2.77086	7.98189	5.49427	2.21389	1.40674	10.6984	11.6007	1.74761	5.10818	6.89089	5.26382	5.52399	4.55849	4.16139	10.1534	3.47136	0.858723	9.36387	6.79431	6.5947	6.07746
EHD3	0	3.14941	1.80462	0	3.23017	0.688679	0.802862	0.543343	0	3.52494	2.10349	0.613062	5.49062	0	0	1.31234	0	0	0.579822	0	0	0	0.716029	0.749813
EHD4	37.2256	30.1574	9.90926	15.5673	6.64741	27.2204	9.92185	7.46164	45.4717	32.9304	21.1946	19.3752	12.2548	36.0874	20.1708	30.6296	24.6065	0	13.4323	10.739	4.33951	21.1191	21.6461	23.6693
EHF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHHADH	10.7831	8.42805	2.80043	3.84525	1.64164	7.91322	3.54951	2.81172	7.00939	1.4389	3.60844	6.39187	9.45175	0	2.75434	8.3651	4.47367	2.97432	4.11676	1.62542	10.9009	1.77238	4.49765	6.10885
EHHADH-AS1	0	1.906	0	0	4.899	2.06496	0	0	5.15087	0	0	0	2.08825	2.0215	0	3.96463	0	0	0	0	1.94474	0	0	0
EHMT1	39.97355	50.8908	27.92294	30.08617	33.295142	21.7041	14.5736	26.4353	28.91796208	27.03799	45.8117	35.0809	31.3747	53.2435	45.2765	38.6835	17.8928	25.6073	21.20881	30.46465	20.5184	27.1608	48.5984	15.46504
EHMT2	28.96500895011	14.800600785967	12.7727	12.07229	14.697	18.15392441	15.0088	10.4384	15.4593	22.8108	14.1795	22.936	20.125	12.6181	13.5035	26.4701000176861	0	8.78251	7.35663	13.8722	24.2592	25.35322	20.83464	17.4372
EI24	17.9825	19.1704	11.3523	11.5352	18.3369	18.42820517973	12.7037	12.5505	33.5088	12.0436	12.5819	11.0245	13.0059	31.794	12.7388	16.2377	4.40706	39.5806	14.4257000605165	17.7476	16.9898	12.7556	7.70098	20.1395
EID1	185.18	249.893	200.327	212.267	276.374	234.566	189.319	189.594	167.042	242.126	244.983	225.011	220.849	183.202	231.602	249.263	293.32	267.998	168.329	209.853	371.404	298.441	191.525	217.464
EID2	3.63515	3.87352	0	0	4.93628	2.10204	2.46555	5.00899	7.81053	0	4.32156	1.89003	0	6.06298	6.15003	0	0	0	3.54164	4.77148	0	6.98484	4.41566	0
EID2B	4.15993	1.45653	8.55951	3.44751	19.0008	7.287	7.2399	6.25744	0	11.0217	16.3382	5.82002	0	1.47335	7.39935	4.91515	5.68854	3.32374	9.68521	6.96917	2.88863	11.6019	8.32621	9.25788
EID3	6.81225	14.5166	10.3767	4.36067	13.8887	31.5241	16.1793	7.82565	17.0876	32.5589	14.1747	1.77117	0	0	11.531	11.3257	0	0	14.9369	8.95278	23.7625	16.3731	2.06895	8.61399
EIF1	609.568	510.248	500.282	423.254	537.452	584.703	482.352	406.125	600.099	493.793	463.996	451.857	567.095	534.388	546.29	468.387	386.286	338.446	387.72	413.47	464.455	509.569	569.881	492.912
EIF1AD	28.62348894	38.4843685233016	34.7297	20.79992	56.9007	42.5631	13.1441022	18.96105076	43.7863	29.514267828	50.6462224	45.133	41.2326	24.146671823	34.1629969913	40.882	48.25231714222	27.00557623	19.1535018	16.521	14.3085	32.12478	33.347876	30.774151478
EIF1AX	16.5107	14.2801	11.0739	8.60681	21.2417	11.9792	9.85255	12.3826	32.7642	19.7713	39.9413	19.8785	36.0929	24.1774	26.34	24.1584	3.77026	39.3377	11.594	9.61646	22.1286	27.4773	17.5697	14.4618
EIF1AY	50.9767	38.7997	44.3434	48.9359	24.7219	33.6883	41.9836	26.7588	7.82338	19.5741	51.9448	51.1156	61.3199	68.8275	34.9077	44.3683	70.5347	0	53.2126	35.8444	29.3134	22.7381	59.7104	20.7037
EIF1B	50.447	50.9591	36.2136	33.9298	57.3009	52.0754	10.7671	43.7679	37.8496	72.8397	69.3626	38.6197	64.5995	85.4296	71.6047	82.0192	73.6574	129.401	36.1507	58.7159	34.2242	40.6105	22.5591	50.059
EIF1B-AS1	0	3.63477	1.7382	0	3.10666	2.63654	1.54763	0	0	0	2.70742	0	0	0	0	3.7932	0	0	1.10998	1.50429	3.66128	0	0	0
EIF2A	27.2052	32.221	16.36	16.7408	19.84	36.0349	16.9831	18.7121	35.2994	25.8444	29.5934	26.0692	30.4181	31.9293	28.4575	32.7308	31.7969	37.6391	14.1149	24.3411	8.30372	30.1346	19.6545	23.8252
EIF2AK1	8.27829	15.01488	15.2098	12.3294	15.40728	16.4933	14.78856	16.1433	3.14992	5.94885	9.20683	9.39679	29.86785	15.2314	14.4891	7.11109	0	4.32777	9.36296	14.6439	8.11622	7.37504	6.65328	7.56577
EIF2AK2	43.56666	26.4601	19.33093	29.14777	47.1772	38.67392	16.0169	21.6853	36.8365	32.7943	36.4375	36.63926	35.46143	31.329	47.5942	28.13451	38.305	74.8463	21.1541	18.48558	15.163153422	19.4912	17.444039162	21.4131
EIF2AK3	0.49086	3.65755	2.25786	3.14943	2.695	2.27945	2.67835	2.71876	12.0448	1.17565	0	1.02227	0.572326	0.547685	0	3.28371	45.4385	0	3.35714	2.61462	1.05258	1.90142	5.37279	2.5019
EIF2AK4	8.40876	5.36621	6.30768	6.48778	5.64791	8.27596	3.36676	5.05323	7.71974	19.6575	11.2654	4.71055	11.6579	8.26039	9.80109	2.92221	4.15373	3.03539	3.61655	4.38454	5.5432	4.87603	10.8309	4.26438
EIF2B1	76.7737	87.3191	67.5384	53.3504	113.56	76.8646	102.602	58.6839	65.4315	129.145	88.239	121.847	149.847	115.906	100.03	111.272	164.23	137.147	59.6512	75.5734	78.1839	109.1	124.93	57.736
EIF2B2	80.8756	68.9323	66.5551	51.7787	83.6004	99.2025	26.3521	28.2525	95.1038	94.7177	84.6325	84.1173	110.904	57.5832	87.6474	75.3289	160.731	0	66.2162	78.7259	112.836	116.69	104.154	100.275
EIF2B3	58.5914	38.2497	7.13885	11.99407	19.4929	31.7163	12.7188	8.76697	36.72863	32.05469	31.5591	22.7314	73.3052	13.89497	30.37523	32.896	77.57755	0	15.65387	21.14338	27.1713	31.5423	49.312	15.8051
EIF2B4	57.1814	79.9948	38.57069	33.8222	64.3798	49.3513	25.2504	23.47167	40.3295	70.3919	62.8132	47.7544484	35.5513	63.6706	48.6797	46.3645	0	71.6153	31.197400264166	40.7415	12.2716	96.575377	52.7827	58.1993207
EIF2B5	22.6173	11.1806	21.0185	11.395	15.4822	12.1798	16.506	14.151	22.1122	21.2687	18.2707	4.20423	16.937	16.2095	17.3882	12.589	12.7718	0	26.0264	16.079	26.8553	13.2728	16.6957	17.4626
EIF2D	27.05522	23.2012	13.03382	26.4502	28.1776	33.2147	17.41328	20.0615	14.8385	43.8849	42.2941	28.6347	29.3543	43.42210295015	19.456101284	26.7598	0	111.6281	22.2159	24.2553	52.8909	34.28172	39.021	45.1031
EIF2S1	39.083	43.8081	18.5622	26.839	55.8845	41.3208	27.7761	30.9902	43.6854	23.0696	40.4786	38.4021	33.3689	28.2483	46.2041	44.1764	72.3916	75.8025	34.3691	28.5694	34.8235	45.8281	54.2238	39.9662
EIF2S2	30.9587	54.2959	26.4659	49.035	34.8756	54.9025	39.6765	39.4447	59.0003	32.6872	50.94	72.0286	51.9576	36.5345	50.5265	54.7092	38.7434	152.02	33.7762	27.7608	78.1299	78.2811	53.1346	52.0727
EIF2S3	145.403	163.909	93.7477	104.804	151.24	134.492	67.4087	89.0697	167.471	156.137	192.632	170.314	117.245	153.191	145.123	162.212	191.679	213.729	76.9433	83.0833	138.703	108.589	113.416	124.751
EIF3A	91.5587	107.931	51.8416	77.9705	96.3592	80.9776	69.4702	63.6024	93.2857	81.9871	93.7667	90.0002	83.3237	91.6708	80.603	66.804	88.6159	126.318	79.0168	81.5289	77.5208	112.74	88.4624	67.6292
EIF3B	10.8753	29.22943	34.0781	27.1737	24.8727	30.02445	31.2854	23.6391	17.4484	14.4913	36.9923	22.1855	26.447	25.3106	23.1521469953	24.4342	8.28478	0	38.0004	37.7706	49.4554	67.7861	32.39629	11.5507
EIF3C	204.505410568	230.784836976	119.5744	134.5650316268	132.1332	182.144218	125.61740692031	113.30412	331.385567251	283.284123773	287.36275	278.721402028861	217.730173695	238.833929	240.3436	257.08512515525	287.38930023537	341.4586	155.035274624	130.143716935366	184.2685	196.68223	229.482706300541	176.2987
EIF3CL	0	0	1.562475e-07	0.0175369	0	0	0	0	3.75127e-08	0	1.079992e-05	1.60251e-07	0	0	0	1.34873e-07	0	0	0	0.02022154101	0	0	0	0
EIF3D	175.248	223.723	127.162	129.002	213.647	155.499	109.855	143.021	217.921	176.876	193.716	140.961	205.328	185.465	158.814	168.443	123.715	118.841	146.702	152.668	153.349	221.669	203.925	220.669
EIF3E	195.636	171.343	161.667	174.064	216.408	136.199	137.281	170.677	297.127	144.625	141.942	191.398	240.809	143.851	183.385	178.286	202.883	421.977	153.504	143.876	151.247	213.643	138.98	150.986
EIF3F	544.494	501.765	379.697	424.26	432.825	503.909	371.723	413.337	351.388	439.975	498.709	417.1	508.424	402.623	419.762	409.966	262.429	505.12	374.747	447.594	492.27	430.095	479.79	534.629
EIF3G	517.154	392.216	289.708	234.452	403.194	303.566	270.311	315.793	286.078	194.422	301.46	423.572	378.218	437.161	321.806	380.621	275.838	283.431	285.598	231.022	477.935	361.402	468.946	445.395
EIF3H	356.317	360.431	300.009	296.207	398.484	365.315	267.396	273.495	299.554	360.6	354.101	272.08	369.203	393.757	412.877	320.816	345.791	585.377	286.232	308.507	365.244	336.132	349.62	322.65
EIF3I	254.826	183.927	104.312	133.494	207.18	210.203	136.718	122.349	344.355	238.131	250.756	223.045	266.798	243.535	234.777	236.607	128.111	264.949	111.079	117.261	189.425	283.359	237.352	215.722
EIF3IP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3J	15.7013	9.83486	12.7154	15.3948	12.6329	24.6312	6.28803	11.9174	26.5964	33.1552	19.7884	14.4199	24.7371	20.5874	20.9176	24.6624	6.73658	22.6753	10.8188	11.0171	9.90642	22.3027	20.211	24.647
EIF3K	414.701	509.896	363.611	387.981	544.332	536.1	392.803	387.713	598.45	448.862	555.96	479.938	622.577	477.042	457.8	487.747	533.339	469.49	452.03	446.428	680.382	527.986	360.982	408.526
EIF3L	263.392	279.293	182.754	191.63	222.984	245.228	167.414	162.055	246.429	177.467	296.99	260.918	195.418	288.255	253.722	279.941	357.571	138.23	194.14	188.563	140.17816	246.297	183.137	255.411
EIF3M	199.796	176.417	107.131	133.936	216.905	156.211	144.499	127.522	198.878	161.372	223.909	148.376	236.417	184.037	169.47	187.519	350.051	139.56	129.655	137.233	228.753	217.44	171.005	173.004
EIF4A1	386.166	408.56	470.824	474.849	459.448	484.8	505.609	547.446	562.259	511.348	556.536	565.6686	406.986	458.825	496.627	546.874	325.534	654.323	599.103	513.169	519.991	464.58	483.477	538.845
EIF4A2	262.337	187.652	166.877	166.414	249.033	221.937	155.601	162.157	186.615	156.849	134.631	131.121	192.97	170.392	197.724	157.105	279.364	217.502	146.754	162.978	160.048	141.293	148.469	239.666
EIF4A3	123.163	110.086	90.7099	72.5361	169.719	221.283	61.5557	98.9817	160.569	140.472	193.65	166.418	169.553	118.182	214.342	175.984	58.3814	124.855	113.196	95.1808	153.424	85.8916	204.711	166.782
EIF4B	123.712	152.937	98.7324	106.793	129.814	134.326	81.6291	107.855	113.508	105.123	107.947	99.7246	131.583	109.386	117.68	89.5894	116.616	308.392	94.676	69.025	90.4714	109.262	109.541	98.747
EIF4E	28.96985	47.5178	36.46872	22.214	39.90979	36.3765	21.73028	27.26155	49.0421	38.03567	42.4048	40.4388	28.06137	36.3734	38.25608	41.64459	63.49258	33.7656	28.12875	17.0724	36.79373	48.06995	39.82959	32.2105
EIF4E1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E2	111.922	161.961	64.6114	57.8903	143.764	98.3794	79.2439	100.054	94.9642	85.8181	101.258	146.735	120.405	109.392	158.698	152.87	247.482	0	88.1133	107.45	111.636	216.519	148.785	80.382
EIF4E3	3.345546302105	1.582622131608	4.56243680704338	5.72526190553611	6.1285415901	3.021912355895	5.07314229616326	4.11953490728	15.5751	4.897782573371	2.65665751915681	5.419766672122	8.671410959945	11.616612933326	5.485712524477	2.9027531004054	0	0	4.3593240779	2.9737701675273	5.97758236281674	11.1705	4.069175743882	3.792246328808
EIF4EBP1	71.7183	62.5969	9.84868	29.1275	52.5113	63.8268	8.78997	26.8065	13.8934	108.74	65.7466	50.7719	86.7153	54.1684	54.7891	64.5482	11.764	55.4576	18.9957	33.7072	10.5105	31.0485	51.405	36.7377
EIF4EBP2	34.4544	26.5234	17.0564	16.5687	33.6047	22.2274	18.7177	15.1591	28.6984	28.9061	31.2594	28.8536	24.4366	31.7629	26.6705	30.2995	17.4311	33.8096	13.0886	26.5394	35.137	36.4883	23.0683	23.8742
EIF4EBP3	0	18.5506	0	0	0	1.12949	10.2064	0	15.6258	36.9839	0	27.0404	0	4.61608	0	0	0	0	5.9927	7.33611	14.0278	56.9844	2.58783	0
EIF4ENIF1	15.36965837	15.58445492	6.7291756	5.6401793	4.01047	9.01572801	2.56619163	6.07522083	14.4790569	10.5166845	11.9539665	9.79891	7.67476	2.79928666	9.9602067	6.9908733	0	0	6.7413736	5.0056202	11.4376089	4.82393	10.32739843	4.7928938
EIF4G1	52.9826	72.100161546	38.267984	42.275055289	53.8932	60.473620884	38.89294	38.779362	63.70389	84.8415342463	77.8484533775413	77.7807696105	71.1185009820763	63.395134047	79.26941772919	64.80157608	39.075237	148.98419	43.19140042736	35.080301	59.26440089523	84.418540720185	65.5407002143228	69.2229357
EIF4G2	252.2004	214.71	155.89066272	170.82475908	269.0347	236.131	142.4447	202.4752	309.105	285.6524	211.9764	237.9405	204.7503	215.0716	224.5153	203.9335	64.1916	329.126	137.7263	131.3184	163.8642	238.5022	207.6916	202.6103
EIF4G3	18.115927157	7.48364	14.5167	13.3595	11.9057	12.47817	9.32371	11.82527373	11.85039277725	13.14028	10.26105	8.2659019204	9.79135	4.51870246317	8.14385245457	7.5111718159	17.396250918948	0	11.3322	9.47608	15.81425	6.37245178901	20.118596309	6.9152
EIF4H	258.393	248.507	187.933	173.416	257.905	231.3103	157.6017	192.4921	244.4699	259.265	251.3236	232.98	250.2402	225.3117	239.613	286.7616	150.511	168.355	176.8851	168.4914	280.967	280.435	259.1396	307.701
EIF5	63.1385	45.7469	28.593	37.1019	63.7497	59.631	29.0688	29.5056	36.2579	46.4692	52.1024	39.2148	56.7837	50.5163	40.1531	42.4304	46.3508	55.2236	34.9406	35.4977	57.4955	29.4867	36.62859	25.2202
EIF5A	314.807	280.643	133.563	194.315524	304.831	281.0766	124.404	151.835	341.5975	393.57380227282	465.3035	415.092	249.4268	322.312000075796	322.83112991	375.0850109959	220.782	163.807	158.265000026261	142.481774	298.2032169	352.8819	431.074488593	321.309
EIF5A2	6.15963	10.3086	4.80538	5.32331	3.53497	10.001	6.24787	3.74308	5.16793	7.28955	7.65441	7.20496	11.8467	10.4368	2.51127	6.22679	3.23303	2.09931	3.08805	2.31273	2.82489	6.51579	4.74651	6.41289
EIF5AL1	1.87122	6.10312	3.85903	0.811529	5.12839	8.69183	1.70274	2.91474	9.91274	13.5299	6.75886	3.91224	1.47719	4.27941	3.58187	6.96774	9.29827	7.77805	4.90076	2.53398	7.35713	6.66843	9.29629	5.61132
EIF5B	20.873	26.869	11.9088	25.5393	30.6503	23.6693	21.852	13.4434	23.8234	34.2975	23.1253	21.2298	22.6396	30.3308	23.1319	28.6853	37.8408	47.7601	21.8169	16.8076	35.9115	16.9236	28.9277	27.8354
EIF6	233.513	191.673	131.16215519	170.62153	197.6301	161.795	136.522	154.15414062	241.206	260.2096	313.1629	236.50641	185.878582	187.6544	254.2512	230.549	195.00069	113.963	115.9070619	155.31898	238.42219	204.177800722437	240.4658	208.1697
ELAC1	16.0552	3.4196	4.90793	4.1159	20.4715	13.6459	5.82601	8.87356	30.7958	10.2433	15.2851	13.3666	6.2293	9.5396	8.47875	23.8	0	13.1306	10.4448	11.3307	4.59269	8.26343	18.2147	16.3064
ELAC2	64.8164	48.3775120219	31.541	34.5433	63.0956000776123	59.7224	32.192400343823	30.1845797	56.7634237382	43.4909	74.25510205778	63.664400854602	45.1615	86.65007	39.8356000276318	46.09027	30.2176	64.0363	23.654600440842	39.4705	73.378272	31.50763	35.3382	47.0508
ELANE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL1	27.9725	21.4367	6.86667	11.0103	17.4224	19.0583	5.09022	12.4	8.08076	4.91413	19.5479	8.54524	16.9657	12.9044	16.0886	7.9055	0	13.7677	6.92543	6.46494	23.9909	11.9276	11.7948	6.65851
ELAVL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF1	65.9644	45.941	34.9501	36.3816	49.02881866	52.228	36.9826	29.579300418747	53.3525	36.19844	56.5261	48.7821	49.5792	42.4735	44.048481	37.7812	115.572	122.7590449067	35.5283	42.77518	36.3583	47.1286	52.4775	47.0958
ELF2	14.7646	7.5427456526	8.43471	17.6208	10.4533834985	24.7921131	4.2896269199	5.5832156692	15.2098	15.68069	20.83837343303	11.4716334409	11.0038	9.59163	21.18168	9.23316	30.641351519	60.0059	9.8530012591	13.52677	28.13875	13.5224	14.91482	11.93955
ELF3	1.48664	2.37419	0	0	0	0	1.01289	0	1.07135	0.889737	0.884977	0.773816	1.73208	0.828822	0	0	0	0	2.17758	0	0	0.718745	1.8076	1.8913
ELF4	21.8471000163817	31.0091000207685	13.737300075223	15.8124000678092	27.6648000873956	33.8110000365339	14.5146000945601	15.5096000387405	26.6724000423585	29.5132	22.0145	40.2462000462594	22.2027	24.9967000743509	27.3211000224952	29.969400365936	21.1450000304763	22.039300109808	11.4920000333104	14.908000311059	44.44830023742	29.8243000059962	41.5557000801247	37.1017
ELF5	0	0	0	0	0	0	0	0	1.70458	2.58097	1.4108	0	0	1.36803	0	1.32617	0	0	0	0	0	1.14345	0	1.5042
ELFN1	0	0.655745	0.943803	0	0	0	0	0	0	0.737477	0.733487	0	0	0	0.698475	0	0.749834	0	0	0	0	0	0	0
ELFN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897195	0	0	0	0	0	0	0	0	0	0
ELK1	16.8386919517601	14.212	5.10684	8.88617	24.1521	18.6012322319	4.54532	5.38384	16.1744	42.3754	13.44981	5.21024	14.2157	12.5152	13.3676	15.7855	0	0	4.07238	7.80998	18.058979937	10.0758	10.1425	15.2959
ELK2AP	0	0	0	0	0	0	0	0	0	0	0	0	4.18315	0	0	0	0	0	0	0	0	0	0	0
ELK3	42.3715	30.8752	8.51941	11.4331	21.3186	33.5964	4.55112	16.4313	14.4331	32.0104	15.9224	11.6034	29.8474	18.6315	5.04631	13.6337	73.1321	54.705	3.26397	10.3234	4.78465	40.8794	13.5532	9.90647
ELK4	17.784348	17.573966	8.33663	10.50554	14.1175	12.39077	7.20929	7.57045	14.8599	15.59602	9.37301	10.35622	5.83703	12.9384	10.6699	17.13473	20.4845	26.3737	6.98203	5.12283	10.64021	10.7722	13.51386	15.2942
ELL	24.5207	17.6045	10.4876	13.9013	15.6443	19.8563	10.1091	13.1564	8.22732	7.51074	13.5817	17.8126	12.63	22.2646	21.9899	14.6177	0	25.2386	11.1412	12.1394	5.50307	4.41577	20.8043	13.0728
ELL2	7.47461	7.95578	5.16053	5.27658	9.24244	4.34029	1.53019	4.8321	0.539818	4.02888	6.67771	7.7843	0.871815	3.75411	4.66675	4.58623	1.36636	0	5.47863	2.9899	9.61603	15.5738	3.18202	1.42974
ELL3	1.13704	6.0548	1.7373	1.45728	0	1.31759	1.54683	1.04713	0	0	1.35301	4.47304	1.32324	1.26654	0	0	0	0	0	0	0	13.1623	1.38204	0
ELMO1	49.76855	41.5104	20.42429	16.88471	37.3373	57.85445	13.52361	18.03238	54.4321	38.4306	30.8188	42.75277	57.795956	55.18483	48.39999	32.2514	44.0509822	86.09772	26.77361	17.5301	68.85319	47.22956	39.4709	40.190471066
ELMO2	37.5927	38.0195	35.6145	28.9945	46.38836188	34.47063	28.1701	24.42726	55.8764	51.0084045064	35.8113	31.9642804813	37.972446363	46.0946	37.3403	34.207	4.71597	0	34.69	28.3297	65.169273619	17.4939	25.160519	31.9073
ELMO3	0	5.01481	0	2.41521	0	2.18411	0	0.868031	1.35599	0	2.24216	2.94098	2.1935	4.19875	2.13298	0	0	0	0	0	2.02052	0	3.4351	2.39351
ELMOD1	2.691928249	2.744995522	1.84797773	4.53041826	5.39524427	7.78542669	1.189198299	3.241304435	4.61192953	4.388758994	2.019474817	2.909629406	8.58421645	3.179971321	6.16547673	4.27851054	6.17504957	8.64896921	3.8658712	2.65615477	5.25782053	4.291079654	0	4.995902395
ELMOD2	8.29839	5.52099	4.77064	9.98264	5.69386	12.6436	6.36672	4.30856	7.4851	6.21071	5.55914	3.78039	2.41871	0.578649	5.88376	5.2037	10.7379	3.82667	5.06712	5.5236	5.0049	15.5676	1.26151	5.94692
ELMOD3	4.67919	19.2194	7.1419700525803	8.9897900846473	33.123	21.3496	8.18161	13.8455	10.0921	5.76982	19.076490142764	29.4678000365339	19.827	19.7519	12.4741000246683	10.2341	13.39097	0	9.40032	8.06141	14.3523	13.55748	6.67151	22.409
ELMSAN1	30.6298	23.64267	12.5274	17.8332	32.4347	18.5635	13.1349	11.3045	19.0468	9.07504	16.2362	22.8428	24.7092	28.9168	15.9818	15.4952	31.5363	23.1837	17.1053	10.792	28.3662	30.2059	27.9479	15.1955
ELN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOF1	63.1862	89.8299	31.9227	40.3748	49.7251	88.0689	32.0325	65.1046	127.622	37.685	68.7809	95.7387	88.4638	92.1372	88.7613	98.7672	155.617	44.9136	58.8933	51.3843	152.71	67.9624	99.0657	82.7411
ELOVL1	182.1283	126.55	75.613400907395	87.5037	212.47003	132.1692	68.4783	73.5231	157.247	148.9022	192.6396	165.67955	119.124	167.8788	161.28766	178.608	418.7172	91.6001	95.874	73.50665471305	189.9924	224.512	164.07945430696	155.55365
ELOVL2	0	0	0	0	0	0	0	0	0	1.34944	0	0	0	0	0	0.628048	0	0	0	0	0	0	0	0
